museum,place
http://dbpedia.org/resource/Liberty_Aviation_Museum,"http://dbpedia.org/resource/Port_Clinton,_Ohio"
http://dbpedia.org/resource/Liberty_Bell_Memorial_Museum,"http://dbpedia.org/resource/Melbourne,_Florida"
http://dbpedia.org/resource/Liberty_Bell_Museum,http://dbpedia.org/resource/Pennsylvania
http://dbpedia.org/resource/Liberty_Bell_Museum,"http://dbpedia.org/resource/Allentown,_Pennsylvania"
http://dbpedia.org/resource/Liberty_Science_Center,http://dbpedia.org/resource/Liberty_State_Park
http://dbpedia.org/resource/Liberty_Science_Center,"http://dbpedia.org/resource/Jersey_City,_New_Jersey"
http://dbpedia.org/resource/Lichfield_Museum,http://dbpedia.org/resource/England
http://dbpedia.org/resource/Lichfield_Museum,http://dbpedia.org/resource/Staffordshire
http://dbpedia.org/resource/Lichfield_Museum,http://dbpedia.org/resource/Lichfield
http://dbpedia.org/resource/Liechtenstein_Museum,http://dbpedia.org/resource/Vienna
http://dbpedia.org/resource/Liechtenstein_Museum,http://dbpedia.org/resource/Austria
"http://dbpedia.org/resource/Lille_Métropole_Museum_of_Modern,_Contemporary_and_Outsider_Art",http://dbpedia.org/resource/Villeneuve-d'Ascq
"http://dbpedia.org/resource/Lille_Métropole_Museum_of_Modern,_Contemporary_and_Outsider_Art",http://dbpedia.org/resource/France
http://dbpedia.org/resource/Lillie_and_Hugh_Roy_Cullen_Sculpture_Garden,http://dbpedia.org/resource/Houston
http://dbpedia.org/resource/Lillstreet_Art_Center,http://dbpedia.org/resource/Illinois
http://dbpedia.org/resource/Lillstreet_Art_Center,http://dbpedia.org/resource/United_States
http://dbpedia.org/resource/Lillstreet_Art_Center,http://dbpedia.org/resource/Chicago
http://dbpedia.org/resource/Limerick_City_Museum,http://dbpedia.org/resource/Limerick
http://dbpedia.org/resource/Lincoln_Depot_Museum,"http://dbpedia.org/resource/Peekskill,_New_York"
http://dbpedia.org/resource/Lincoln_Park_Conservatory,http://dbpedia.org/resource/Illinois
http://dbpedia.org/resource/Lincoln_Park_Conservatory,http://dbpedia.org/resource/United_States
http://dbpedia.org/resource/Lincoln_Park_Conservatory,http://dbpedia.org/resource/Chicago
http://dbpedia.org/resource/Lincolnshire_Aviation_Heritage_Centre,http://dbpedia.org/resource/Lincolnshire
http://dbpedia.org/resource/Lincolnshire_Aviation_Heritage_Centre,http://dbpedia.org/resource/East_Kirkby
http://dbpedia.org/resource/Linden_Museum,http://dbpedia.org/resource/Germany
http://dbpedia.org/resource/Linden_Museum,http://dbpedia.org/resource/Stuttgart
http://dbpedia.org/resource/List_of_St._Louis_Cardinals_in_the_Baseball_Hall_of_Fame,"http://dbpedia.org/resource/Cooperstown,_New_York"
http://dbpedia.org/resource/List_of_visitors_to_the_Hiroshima_Peace_Memorial_Museum,http://dbpedia.org/resource/Hiroshima
http://dbpedia.org/resource/List_of_visitors_to_the_Hiroshima_Peace_Memorial_Museum,"http://dbpedia.org/resource/Naka-ku,_Hiroshima"
http://dbpedia.org/resource/List_of_works_in_the_Museum_of_Modern_Art,http://dbpedia.org/resource/53rd_Street_(Manhattan)
http://dbpedia.org/resource/List_of_works_in_the_Museum_of_Modern_Art,http://dbpedia.org/resource/New_York
http://dbpedia.org/resource/List_of_works_in_the_Museum_of_Modern_Art,http://dbpedia.org/resource/Manhattan
http://dbpedia.org/resource/Lithgow_State_Mine_Heritage_Park_&_Railway,"http://dbpedia.org/resource/Lithgow,_New_South_Wales"
http://dbpedia.org/resource/Lithuanian_Museum_of_Ethnocosmology,http://dbpedia.org/resource/Molėtai_District_Municipality
http://dbpedia.org/resource/Lithuanian_Museum_of_Ethnocosmology,http://dbpedia.org/resource/Lithuania
http://dbpedia.org/resource/Lithuanian_Museum_of_Ethnocosmology,http://dbpedia.org/resource/Kulionys
http://dbpedia.org/resource/Lithuanian_Road_Museum,http://dbpedia.org/resource/Lithuania
http://dbpedia.org/resource/Lithuanian_Road_Museum,http://dbpedia.org/resource/Vievis
http://dbpedia.org/resource/Living_Prairie_Museum,http://dbpedia.org/resource/Winnipeg
http://dbpedia.org/resource/Living_Prairie_Museum,http://dbpedia.org/resource/Canada
http://dbpedia.org/resource/Livingstone_Museum,"http://dbpedia.org/resource/Livingstone,_Zambia"
http://dbpedia.org/resource/Livrustkammaren,http://dbpedia.org/resource/Slottsbacken
http://dbpedia.org/resource/Livrustkammaren,http://dbpedia.org/resource/Stockholm
http://dbpedia.org/resource/Llangollen_Motor_Museum,http://dbpedia.org/resource/Llangollen
http://dbpedia.org/resource/Lobkowicz_Palace,http://dbpedia.org/resource/Prague
http://dbpedia.org/resource/Lobkowicz_Palace,http://dbpedia.org/resource/Czech_Republic
http://dbpedia.org/resource/Locksmith's_House,http://dbpedia.org/resource/England
http://dbpedia.org/resource/Locksmith's_House,http://dbpedia.org/resource/Willenhall
http://dbpedia.org/resource/Lok_Virsa_Museum,http://dbpedia.org/resource/Islamabad_Capital_Territory
http://dbpedia.org/resource/Lok_Virsa_Museum,http://dbpedia.org/resource/Islamabad
http://dbpedia.org/resource/Lok_Virsa_Museum,http://dbpedia.org/resource/Pakistan
http://dbpedia.org/resource/London_Canal_Museum,http://dbpedia.org/resource/England
http://dbpedia.org/resource/London_Canal_Museum,http://dbpedia.org/resource/London
http://dbpedia.org/resource/London_Canal_Museum,"http://dbpedia.org/resource/Kings_Cross,_London"
http://dbpedia.org/resource/London_Dungeon,http://dbpedia.org/resource/SE_postcode_area
http://dbpedia.org/resource/London_Dungeon,http://dbpedia.org/resource/Bankside
http://dbpedia.org/resource/London_Motor_Museum,http://dbpedia.org/resource/England
http://dbpedia.org/resource/London_Motor_Museum,"http://dbpedia.org/resource/Hayes,_Hillingdon"
http://dbpedia.org/resource/London_Motorcycle_Museum,http://dbpedia.org/resource/Greenford
http://dbpedia.org/resource/London_Museum_of_Water_&_Steam,http://dbpedia.org/resource/Brentford
http://dbpedia.org/resource/London_Regional_Children's_Museum,"http://dbpedia.org/resource/London,_Ontario"
http://dbpedia.org/resource/London_Regional_Children's_Museum,http://dbpedia.org/resource/Canada
http://dbpedia.org/resource/London_Transport_Museum,http://dbpedia.org/resource/England
http://dbpedia.org/resource/London_Transport_Museum,http://dbpedia.org/resource/Covent_Garden
http://dbpedia.org/resource/London_Transport_Museum,http://dbpedia.org/resource/London
http://dbpedia.org/resource/Long_Island_Maritime_Museum,http://dbpedia.org/resource/United_States
http://dbpedia.org/resource/Long_Island_Maritime_Museum,"http://dbpedia.org/resource/West_Sayville,_New_York"
"http://dbpedia.org/resource/Long_Island_Museum_of_American_Art,_History,_and_Carriages",http://dbpedia.org/resource/New_York_State_Route_25A
