author,place
http://dbpedia.org/resource/Aaron_Deer,http://dbpedia.org/resource/Indianapolis
http://dbpedia.org/resource/Aaron_Douglas,"http://dbpedia.org/resource/Topeka,_Kansas"
http://dbpedia.org/resource/Aaron_Dworkin,"http://dbpedia.org/resource/Monticello,_New_York"
http://dbpedia.org/resource/Aaron_Espe,http://dbpedia.org/resource/Minnesota
http://dbpedia.org/resource/Aaron_Espe,"http://dbpedia.org/resource/Roseau,_Minnesota"
http://dbpedia.org/resource/Aaron_Espe,http://dbpedia.org/resource/Roseau
http://dbpedia.org/resource/Aaron_Gillespie,"http://dbpedia.org/resource/Clearwater,_Florida"
http://dbpedia.org/resource/Aaron_Goldstein_(musician),http://dbpedia.org/resource/Toronto
http://dbpedia.org/resource/Aaron_Harris_(drummer),http://dbpedia.org/resource/Maine
http://dbpedia.org/resource/Aaron_Karo,"http://dbpedia.org/resource/Plainview,_New_York"
http://dbpedia.org/resource/Aaron_Keyes,"http://dbpedia.org/resource/Greenville,_South_Carolina"
http://dbpedia.org/resource/Aaron_Koblin,http://dbpedia.org/resource/California
http://dbpedia.org/resource/Aaron_Koblin,"http://dbpedia.org/resource/Santa_Monica,_California"
http://dbpedia.org/resource/Aaron_Krach,"http://dbpedia.org/resource/Ionia,_Michigan"
http://dbpedia.org/resource/Aaron_Lawrence_(actor),"http://dbpedia.org/resource/Summit,_New_Jersey"
http://dbpedia.org/resource/Aaron_Levinson,http://dbpedia.org/resource/Pennsylvania
http://dbpedia.org/resource/Aaron_Levinson,http://dbpedia.org/resource/Philadelphia
http://dbpedia.org/resource/Aaron_Lewis,"http://dbpedia.org/resource/Springfield,_Massachusetts"
http://dbpedia.org/resource/Aaron_Marsh,"http://dbpedia.org/resource/Orlando,_Florida"
http://dbpedia.org/resource/Aaron_Nelson-Moody,http://dbpedia.org/resource/Vancouver
http://dbpedia.org/resource/Aaron_Pauley,http://dbpedia.org/resource/California
http://dbpedia.org/resource/Aaron_Pritchett,"http://dbpedia.org/resource/Terrace,_British_Columbia"
http://dbpedia.org/resource/Aaron_Rapoport,"http://dbpedia.org/resource/San_Mateo_County,_California"
http://dbpedia.org/resource/Aaron_Richmond,"http://dbpedia.org/resource/Salem,_Massachusetts"
http://dbpedia.org/resource/Aaron_Robinson_(composer),http://dbpedia.org/resource/Maine
http://dbpedia.org/resource/Aaron_Rossi,"http://dbpedia.org/resource/South_Kingstown,_Rhode_Island"
http://dbpedia.org/resource/Aaron_Shust,http://dbpedia.org/resource/Illinois
http://dbpedia.org/resource/Aaron_Shust,http://dbpedia.org/resource/Chicago
http://dbpedia.org/resource/Aaron_Siskind,http://dbpedia.org/resource/New_York_City
http://dbpedia.org/resource/Aaron_Solowoniuk,"http://dbpedia.org/resource/Streetsville,_Ontario"
http://dbpedia.org/resource/Aaron_Spangler,http://dbpedia.org/resource/Minneapolis
http://dbpedia.org/resource/Aaron_Spangler,http://dbpedia.org/resource/Minnesota
http://dbpedia.org/resource/Aaron_Tippin,http://dbpedia.org/resource/Florida
http://dbpedia.org/resource/Aaron_Tippin,"http://dbpedia.org/resource/Pensacola,_Florida"
http://dbpedia.org/resource/Aaron_Turner,http://dbpedia.org/resource/Massachusetts
http://dbpedia.org/resource/Aaron_Turner,http://dbpedia.org/resource/New_Mexico
http://dbpedia.org/resource/Aaron_Walpole,http://dbpedia.org/resource/London
http://dbpedia.org/resource/Aart_Jansz_Druyvesteyn,http://dbpedia.org/resource/Haarlem
http://dbpedia.org/resource/Aarya_Ambekar,http://dbpedia.org/resource/Nagpur
http://dbpedia.org/resource/Aasim,"http://dbpedia.org/resource/Jamaica,_Queens"
http://dbpedia.org/resource/Ab-Soul,http://dbpedia.org/resource/California
http://dbpedia.org/resource/Ab-Soul,http://dbpedia.org/resource/Los_Angeles
http://dbpedia.org/resource/Aba_Bayefsky,http://dbpedia.org/resource/Toronto
http://dbpedia.org/resource/Abanindranath_Tagore,http://dbpedia.org/resource/Kolkata
http://dbpedia.org/resource/Abass_Ibrahim,http://dbpedia.org/resource/Jizan
http://dbpedia.org/resource/Abass_Ibrahim,http://dbpedia.org/resource/Jeddah
http://dbpedia.org/resource/Abastenia_St._Leger_Eberle,"http://dbpedia.org/resource/Webster_City,_Iowa"
http://dbpedia.org/resource/Abbas_Godarzi,http://dbpedia.org/resource/Borujerd
http://dbpedia.org/resource/Abbas_Hasan,http://dbpedia.org/resource/Ottawa
http://dbpedia.org/resource/Abbas_Jafri,http://dbpedia.org/resource/Karachi
http://dbpedia.org/resource/Abbas_Jafri,http://dbpedia.org/resource/Sindh
