(48.8662595233, 2.39975002649);Ulmus;minor;AVENUE GAMBETTA;PARIS 20E ARRDT;230.0;21.0;219199;Orme
(48.8716811488, 2.24923265275);Araucaria;araucana;PARC DE BAGATELLE - ALLEE DE LONGCHAMP / ROUTE DE SEVRES A NEUILLY;PARIS 16E ARRDT;182.0;11.0;16936;Araucaria
(48.8629082876, 2.26157034611);Ginkgo;biloba;BERGE DU LAC INFERIEUR - CHEMIN DE CEINTURE DU LAC INFERIEUR;PARIS 16E ARRDT;210.0;17.0;25608;Arbre aux quarante écus
(48.8460398085, 2.25406628275);Celtis;koraiensis;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;PARIS 16E ARRDT;165.0;10.0;27469;Micocoulier
(48.8613685289, 2.25898794355);Fagus;sylvatica;PETITE ILE DU LAC INFERIEUR;PARIS 16E ARRDT;200.0;10.0;27807;Hêtre
(48.8471733403, 2.25286614408);Quercus;suber subsp. Occidentalis;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;PARIS 16E ARRDT;203.0;11.0;33271;Chêne
(48.836425027, 2.29018563176);Fagus;sylvatica;SQUARE DU CLOS FEUQUIERES;PARIS 15E ARRDT;138.0;4.0;46193;Hêtre
(48.8787029872, 2.30647417371);Acer;pseudoplatanus;PARC MONCEAU;PARIS 8E ARRDT;450.0;28.0;47177;Erable
(48.8856292413, 2.34379244341);Punica;granatum;SQUARE LOUISE MICHEL;PARIS 18E ARRDT;30.0;3.0;50922;Grenadier
(48.8477822447, 2.25372288858);Betula;nigra;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;PARIS 16E ARRDT;200.0;18.0;54038;Bouleau
(48.8521900449, 2.34729161483);Robinia;pseudoacacia;SQUARE RENE VIVIANI;PARIS 5E ARRDT;365.0;9.0;59019;Robinier
(48.8520872721, 2.28253143196);Populus;x canadensis;ALLEE DES CYGNES;PARIS 15E ARRDT;381.0;22.0;61749;Peuplier
(48.8218388917, 2.33578615166);Quercus;ilex;PARC MONTSOURIS;PARIS 14E ARRDT;250.0;21.0;84446;Chêne
(48.8648326277, 2.25217460792);Diospyros;kaki;JARDIN DU PRE CATELAN - CARREFOUR DE LA GRANDE CASCADE / CARREFOUR DE LA CROIX CATELAN;PARIS 16E ARRDT;146.0;15.0;90948;Plaqueminier
(48.8399709915, 2.43374296016);Fagus;sylvatica;SQUARE CARNOT - AVENUE DAUMESNIL / ESPLANADE DU CHATEAU DE VINCENNES;PARIS 12E ARRDT;414.0;16.0;96045;Hêtre
(48.8672465961, 2.31748146673);Melia;azedarach;JARDINS DES CHAMPS ELYSEES;PARIS 8E ARRDT;168.0;14.0;97070;Lilas de Perse
(48.8661272117, 2.26254793084);Platanus;orientalis;ILE DU LAC INFERIEUR;PARIS 16E ARRDT;380.0;26.0;100577;Platane
(48.8691249683, 2.27310006117);Morus;alba;SQUARE ROBERT SCHUMAN;PARIS 16E ARRDT;103.0;3.0;105684;Mûrier
(48.8740821646, 2.25916497406);Catalpa;bignonioides;TIR AU PIGEON / 32 ROUTE DE L ETOILE;PARIS 16E ARRDT;397.0;14.0;108379;Catalpa
(48.8577724998, 2.29724575606);Eucommia;ulmoides;JARDIN DU CHAMP DE MARS;PARIS 7E ARRDT;189.0;15.0;169623;Arbre à Gutta-Percha
(48.8323392302, 2.41144640633);Platanus;x hispanica;ILE DE BERCY / LAC DAUMESNIL;PARIS 12E ARRDT;397.0;40.0;139240;Platane
(48.8388163194, 2.40656685552);Quercus;frainetto;SQUARE CHARLES PEGUY;PARIS 12E ARRDT;169.0;14.0;130482;Chêne
(48.8736111675, 2.28908012683);Tilia;tomentosa;JARDIN DE L AVENUE FOCH / 10 AVENUE FOCH;PARIS 16E ARRDT;280.0;22.0;133077;Tilleul
(48.8877361833, 2.34350324718);Platanus;x hispanica;PARC MARCEL BLEUSTEIN BLANCHET;PARIS 18E ARRDT;349.0;27.0;123815;Platane
(48.8873178299, 2.31706267506);Diospyros;lotus;SQUARE DES BATIGNOLLES;PARIS 17E ARRDT;153.0;13.0;126224;Plaqueminier
(48.8426511702, 2.29608898567);Celtis;australis;SQUARE SAINT-LAMBERT;PARIS 15E ARRDT;227.0;19.0;126448;Micocoulier
(48.8428184075, 2.29688266387);Acer;saccharinum;SQUARE SAINT-LAMBERT;PARIS 15E ARRDT;242.0;22.0;139788;Erable
(48.8220251, 2.33627703861);Sequoia;sempervirens;PARC MONTSOURIS;PARIS 14E ARRDT;355.0;25.0;15597;Sequoia
(48.8630096006, 2.2417737512);Pinus;nigra subsp. laricio;RESERVOIR DE LA GRANDE CASCADE - CARREFOUR DE LONGCHAMP;PARIS 16E ARRDT;241.0;30.0;55279;Pin
(48.8625497049, 2.23789840571);Zelkova;carpinifolia;MOULIN DE LONGCHAMP - ROUTE DES TRIBUNES;PARIS 16E ARRDT;321.0;16.0;219482;Orme de Sibérie
(48.8201271209, 2.4452294175);Cedrus;libani;LAC DE GRAVELLE - ROUTE DE LA TOURELLE / ROUTE NOUVELLE;PARIS 12E ARRDT;410.0;22.0;50027;Cèdre
(48.8876882466, 2.31645921238);Platanus;x hispanica;SQUARE DES BATIGNOLLES;PARIS 17E ARRDT;595.0;34.0;19415;Platane
(48.8810210944, 2.39924431307);Fagus;sylvatica;SQUARE DE LA BUTTE DU CHAPEAU ROUGE / 11 BOULEVARD D ALGERIE;PARIS 19E ARRDT;276.0;21.0;45306;Hêtre
(48.8408777406, 2.39210515404);Calocedrus;decurrens;JARDIN DE LA GARE DE REUILLY;PARIS 12E ARRDT;195.0;23.0;74487;Libocèdre
(48.8600333815, 2.26913461956);Pterocarya;fraxinifolia;JARDIN DU RANELAGH;PARIS 16E ARRDT;449.0;28.0;65079;Pterocarya
(48.8542732882, 2.33573525468);Paulownia;tomentosa;RUE DE FURSTEMBERG;PARIS 6E ARRDT;294.0;23.0;56818;Paulownia
(48.8320775848, 2.41181713566);Taxus;baccata;ILE DE BERCY / LAC DAUMESNIL;PARIS 12E ARRDT;101.0;5.0;27385;If
(48.8858144156, 2.3301156142);Taxus;baccata;CIMETIERE DE MONTMARTRE / DIV 14;PARIS 18E ARRDT;290.0;11.0;39833;If
(48.8217882346, 2.3228497157);Fagus;sylvatica;SQUARE DU SERMENT DE KOUFRA;PARIS 14E ARRDT;306.0;19.0;89293;Hêtre
(48.8732484628, 2.24887874572);Davidia;involucrata;PARC DE BAGATELLE - ALLEE DE LONGCHAMP / ROUTE DE SEVRES A NEUILLY;PARIS 16E ARRDT;120.0;15.0;103014;Arbre aux mouchoirs
(48.8448875264, 2.35366916319);Fagus;sylvatica;SQUARE DES ARENES DE LUTECE;PARIS 5E ARRDT;85.0;3.0;75785;Hêtre
(48.8303745987, 2.41349281717);Acer;opalus;ILE DE BERCY / LAC DAUMESNIL;PARIS 12E ARRDT;203.0;14.0;103013;Erable
(48.8727963278, 2.2875405986);Corylus;colurna;JARDIN DE L AVENUE FOCH / 10 AVENUE FOCH;PARIS 16E ARRDT;200.0;12.0;80363;Noisetier de Byzance
(48.8552202311, 2.30078240398);Celtis;occidentalis;JARDIN DU CHAMP DE MARS;PARIS 7E ARRDT;2439.0;19.0;81382;Micocoulier
(48.8767091018, 2.33192988137);Pterocarya;fraxinifolia;SQUARE D'ESTIENNE D'ORVES;PARIS 9E ARRDT;340.0;26.0;111685;Pterocarya
(48.8578670722, 2.34811930339);Morus;alba;SQUARE DE LA TOUR SAINT JACQUES / 1 BIS RUE SAINT MARTIN;PARIS 4E ARRDT;96.0;6.0;117599;Mûrier
(48.845904263, 2.25302676408);Pistacia;terebinthus;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;PARIS 16E ARRDT;155.0;12.0;87716;Pistachier
(48.8465652331, 2.25242001202);Quercus;ilex;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;PARIS 16E ARRDT;222.0;15.0;99850;Chêne
(48.8210095188, 2.4555149836);Pinus;coulteri;ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE;PARIS 12E ARRDT;234.0;17.0;146386;Pin
(48.8586730749, 2.25833935548);Magnolia;grandiflora;BERGE DU LAC INFERIEUR - CHEMIN DE CEINTURE DU LAC INFERIEUR;PARIS 16E ARRDT;200.0;14.0;191383;Magnolia
(48.8764740798, 2.25749975507);Sequoiadendron;giganteum;ROUTE DE LA PORTE SAINT-JAMES;PARIS 16E ARRDT;335.0;28.0;160686;Sequoia
(48.8731340013, 2.28679550428);Platanus;x hispanica;JARDIN DE L AVENUE FOCH / 10 AVENUE FOCH;PARIS 16E ARRDT;440.0;25.0;210558;Platane
