artwork,author
http://dbpedia.org/resource/A_Thing_of_Beauty,http://dbpedia.org/resource/A._J._Cronin
http://dbpedia.org/resource/The_Judas_Tree,http://dbpedia.org/resource/A._J._Cronin
http://dbpedia.org/resource/Three_Loves,http://dbpedia.org/resource/A._J._Cronin
http://dbpedia.org/resource/Vigil_in_the_Night_(short_story),http://dbpedia.org/resource/A._J._Cronin
http://dbpedia.org/resource/The_Spanish_Gardener,http://dbpedia.org/resource/A._J._Cronin
http://dbpedia.org/resource/The_Citadel_(novel),http://dbpedia.org/resource/A._J._Cronin
http://dbpedia.org/resource/A_Pocketful_of_Rye,http://dbpedia.org/resource/A._J._Cronin
http://dbpedia.org/resource/The_Stars_Look_Down,http://dbpedia.org/resource/A._J._Cronin
http://dbpedia.org/resource/The_Guinea_Pig_Diaries,http://dbpedia.org/resource/A._J._Jacobs
http://dbpedia.org/resource/The_Know-It-All,http://dbpedia.org/resource/A._J._Jacobs
http://dbpedia.org/resource/The_Year_of_Living_Biblically,http://dbpedia.org/resource/A._J._Jacobs
http://dbpedia.org/resource/Hidden_Terrors,http://dbpedia.org/resource/A._J._Langguth
http://dbpedia.org/resource/The_Unlikely_Voyage_of_Jack_de_Crow,http://dbpedia.org/resource/A._J._Mackinnon
http://dbpedia.org/resource/The_Course_of_German_History,http://dbpedia.org/resource/A._J._P._Taylor
http://dbpedia.org/resource/The_Struggle_for_Mastery_in_Europe_1848–1918,http://dbpedia.org/resource/A._J._P._Taylor
http://dbpedia.org/resource/The_Origins_of_the_Second_World_War,http://dbpedia.org/resource/A._J._P._Taylor
http://dbpedia.org/resource/Bismarck:_The_Man_and_the_Statesman,http://dbpedia.org/resource/A._J._P._Taylor
http://dbpedia.org/resource/The_Mahdi,http://dbpedia.org/resource/A._J._Quinnell
http://dbpedia.org/resource/Man_on_Fire_(novel),http://dbpedia.org/resource/A._J._Quinnell
http://dbpedia.org/resource/Day_(Kennedy_novel),http://dbpedia.org/resource/A._L._Kennedy
http://dbpedia.org/resource/The_White_Body_of_Evening,http://dbpedia.org/resource/A._L._McCann
http://dbpedia.org/resource/Gil's_All_Fright_Diner,http://dbpedia.org/resource/A._Lee_Martinez
http://dbpedia.org/resource/Jack_(Homes_novel),http://dbpedia.org/resource/A._M._Homes
http://dbpedia.org/resource/May_We_Be_Forgiven,http://dbpedia.org/resource/A._M._Homes
http://dbpedia.org/resource/Vinegar_Hill_(novel),http://dbpedia.org/resource/A._Manette_Ansay
http://dbpedia.org/resource/The_Metal_Monster,http://dbpedia.org/resource/A._Merritt
http://dbpedia.org/resource/The_Face_in_the_Abyss,http://dbpedia.org/resource/A._Merritt
http://dbpedia.org/resource/The_Ship_of_Ishtar,http://dbpedia.org/resource/A._Merritt
http://dbpedia.org/resource/The_Moon_Pool,http://dbpedia.org/resource/A._Merritt
http://dbpedia.org/resource/Dwellers_in_the_Mirage,http://dbpedia.org/resource/A._Merritt
http://dbpedia.org/resource/Dream_Children,http://dbpedia.org/resource/A._N._Wilson
http://dbpedia.org/resource/Stray_(novel),http://dbpedia.org/resource/A._N._Wilson
http://dbpedia.org/resource/Bless_the_Bride,http://dbpedia.org/resource/A._P._Herbert
http://dbpedia.org/resource/The_Secret_Battle,http://dbpedia.org/resource/A._P._Herbert
http://dbpedia.org/resource/The_Water_Gipsies_(novel),http://dbpedia.org/resource/A._P._Herbert
http://dbpedia.org/resource/Holy_Deadlock,http://dbpedia.org/resource/A._P._Herbert
http://dbpedia.org/resource/Target_3_Billion,http://dbpedia.org/resource/A._P._J._Abdul_Kalam
http://dbpedia.org/resource/Wings_of_Fire,http://dbpedia.org/resource/A._P._J._Abdul_Kalam
http://dbpedia.org/resource/What_I_Did_Last_Summer,http://dbpedia.org/resource/A._R._Gurney
http://dbpedia.org/resource/Love_Letters_(play),http://dbpedia.org/resource/A._R._Gurney
http://dbpedia.org/resource/Post_Mortem_(Gurney_play),http://dbpedia.org/resource/A._R._Gurney
http://dbpedia.org/resource/Kerala_Panineeyam,http://dbpedia.org/resource/A._R._Raja_Raja_Varma
http://dbpedia.org/resource/Morpho_Eugenia,http://dbpedia.org/resource/A._S._Byatt
http://dbpedia.org/resource/The_Biographer's_Tale,http://dbpedia.org/resource/A._S._Byatt
http://dbpedia.org/resource/Possession_(Byatt_novel),http://dbpedia.org/resource/A._S._Byatt
http://dbpedia.org/resource/The_Children's_Book,http://dbpedia.org/resource/A._S._Byatt
http://dbpedia.org/resource/Summerhill_(book),http://dbpedia.org/resource/A._S._Neill
http://dbpedia.org/resource/Lindbergh_(book),http://dbpedia.org/resource/A._Scott_Berg
http://dbpedia.org/resource/Wilson_(book),http://dbpedia.org/resource/A._Scott_Berg
http://dbpedia.org/resource/Kate_Remembered,http://dbpedia.org/resource/A._Scott_Berg
http://dbpedia.org/resource/The_Penguin_Book_of_Modern_Fantasy_by_Women,http://dbpedia.org/resource/A._Susan_Williams
http://dbpedia.org/resource/Busker_Alley,http://dbpedia.org/resource/AJ_Carothers
http://dbpedia.org/resource/Making_of_a_Male_Model,http://dbpedia.org/resource/AJ_Carothers
"http://dbpedia.org/resource/Goodnight,_Beantown",http://dbpedia.org/resource/AJ_Carothers
http://dbpedia.org/resource/FairChild,http://dbpedia.org/resource/ALcot
http://dbpedia.org/resource/Naka_no_Hito_nado_Inai!_Tokyo_Hero_Project,http://dbpedia.org/resource/ALcot
http://dbpedia.org/resource/JAR_(software),http://dbpedia.org/resource/ARJ
