museum,place
http://dbpedia.org/resource/Addington_Long_Barrow,"http://dbpedia.org/resource/Addington,_Kent"
http://dbpedia.org/resource/Admiral_Digby_Museum,"http://dbpedia.org/resource/Digby,_Nova_Scotia"
"http://dbpedia.org/resource/Admiralty_House,_Mount_Pearl",http://dbpedia.org/resource/Mount_Pearl
"http://dbpedia.org/resource/Admiralty_House,_Mount_Pearl",http://dbpedia.org/resource/Newfoundland_and_Labrador
http://dbpedia.org/resource/AeroVenture,http://dbpedia.org/resource/South_Yorkshire
http://dbpedia.org/resource/AeroVenture,http://dbpedia.org/resource/Doncaster
http://dbpedia.org/resource/Aero_Space_Museum_of_Calgary,http://dbpedia.org/resource/Alberta
http://dbpedia.org/resource/Aero_Space_Museum_of_Calgary,http://dbpedia.org/resource/Calgary
http://dbpedia.org/resource/Aeronautics_Museum_of_Maracay,http://dbpedia.org/resource/Maracay
http://dbpedia.org/resource/Aeronautics_Museum_of_Maracay,http://dbpedia.org/resource/Venezuela
http://dbpedia.org/resource/Afghan_Museum,http://dbpedia.org/resource/Germany
http://dbpedia.org/resource/Afghan_Museum,http://dbpedia.org/resource/Hamburg
http://dbpedia.org/resource/Afif-Abad_Garden,http://dbpedia.org/resource/Shiraz
http://dbpedia.org/resource/Afif-Abad_Garden,http://dbpedia.org/resource/Iran
http://dbpedia.org/resource/African_American_Museum_in_Philadelphia,http://dbpedia.org/resource/Pennsylvania
http://dbpedia.org/resource/African_American_Museum_in_Philadelphia,http://dbpedia.org/resource/Philadelphia
http://dbpedia.org/resource/African_American_Museum_of_Iowa,http://dbpedia.org/resource/Iowa
http://dbpedia.org/resource/African_American_Museum_of_Iowa,"http://dbpedia.org/resource/Cedar_Rapids,_Iowa"
http://dbpedia.org/resource/African_American_Museum_of_the_Arts,"http://dbpedia.org/resource/DeLand,_Florida"
http://dbpedia.org/resource/Afton_Station_Packard_Museum,http://dbpedia.org/resource/U.S._Route_66
http://dbpedia.org/resource/Afton_Station_Packard_Museum,"http://dbpedia.org/resource/Afton,_Oklahoma"
http://dbpedia.org/resource/Afyonkarahisar_Archaeological_Museum,http://dbpedia.org/resource/Afyonkarahisar
http://dbpedia.org/resource/Aga_Khan_Museum,http://dbpedia.org/resource/Ontario
http://dbpedia.org/resource/Aga_Khan_Museum,http://dbpedia.org/resource/Toronto
http://dbpedia.org/resource/Aga_Khan_Museum,http://dbpedia.org/resource/Canada
http://dbpedia.org/resource/Age_of_Sail_Heritage_Centre,http://dbpedia.org/resource/Nova_Scotia_Route_209
http://dbpedia.org/resource/Age_of_Sail_Heritage_Centre,http://dbpedia.org/resource/Port_Greville
http://dbpedia.org/resource/Agricultural_Museum,http://dbpedia.org/resource/Giza
http://dbpedia.org/resource/Agricultural_Museum,http://dbpedia.org/resource/Egypt
http://dbpedia.org/resource/Agricultural_Museum,http://dbpedia.org/resource/Dokki
http://dbpedia.org/resource/Agua_Caliente_Cultural_Museum,"http://dbpedia.org/resource/Palm_Springs,_California"
http://dbpedia.org/resource/Ahmed_Shawki_Museum,http://dbpedia.org/resource/Giza
http://dbpedia.org/resource/Ahmed_Zabana_National_Museum,http://dbpedia.org/resource/Oran
http://dbpedia.org/resource/Ahmed_Zabana_National_Museum,http://dbpedia.org/resource/Algeria
http://dbpedia.org/resource/Ahmet_Arif_Literature_Museum_Library,http://dbpedia.org/resource/Diyarbakır
http://dbpedia.org/resource/Ahmet_Hamdi_Tanpınar_Literature_Museum_Library,http://dbpedia.org/resource/Gülhane_Park
http://dbpedia.org/resource/Ahmet_Hamdi_Tanpınar_Literature_Museum_Library,http://dbpedia.org/resource/Istanbul
http://dbpedia.org/resource/Ahmet_Hamdi_Tanpınar_Literature_Museum_Library,http://dbpedia.org/resource/Fatih
http://dbpedia.org/resource/Air_Force_Armament_Museum,http://dbpedia.org/resource/Florida
http://dbpedia.org/resource/Air_Force_Armament_Museum,http://dbpedia.org/resource/Eglin_Air_Force_Base
http://dbpedia.org/resource/Air_Force_Space_&_Missile_Museum,"http://dbpedia.org/resource/Brevard_County,_Florida"
http://dbpedia.org/resource/Air_Force_Space_&_Missile_Museum,http://dbpedia.org/resource/Cape_Canaveral_Air_Force_Station
http://dbpedia.org/resource/Air_Force_Space_&_Missile_Museum,"http://dbpedia.org/resource/Cape_Canaveral,_Florida"
http://dbpedia.org/resource/Air_Force_Space_&_Missile_Museum,http://dbpedia.org/resource/Port_Canaveral
http://dbpedia.org/resource/Airborne_Museum_'Hartenstein',http://dbpedia.org/resource/Oosterbeek
http://dbpedia.org/resource/Airborne_Museum_'Hartenstein',http://dbpedia.org/resource/Netherlands
http://dbpedia.org/resource/Airborne_Museum_'Hartenstein',http://dbpedia.org/resource/Gelderland
http://dbpedia.org/resource/Airborne_Museum_(Sainte-Mère-Église),http://dbpedia.org/resource/Sainte-Mère-Église
http://dbpedia.org/resource/Airplane_Museum_of_Szolnok,http://dbpedia.org/resource/Szolnok
http://dbpedia.org/resource/Airplane_Museum_of_Szolnok,http://dbpedia.org/resource/Hungary
"http://dbpedia.org/resource/Airport_Museum_(Melbourne,_Florida)",http://dbpedia.org/resource/Florida
"http://dbpedia.org/resource/Airport_Museum_(Melbourne,_Florida)",http://dbpedia.org/resource/Melbourne_International_Airport
