author||place
http://dbpedia.org/resource/Abel_Salazar||http://dbpedia.org/resource/Guimar%C3%A3es
http://dbpedia.org/resource/Abhay_Ashtekar||http://dbpedia.org/resource/Maharashtra
http://dbpedia.org/resource/Abhay_Ashtekar||http://dbpedia.org/resource/Kolhapur
http://dbpedia.org/resource/Abraham_Adrian_Albert||http://dbpedia.org/resource/Chicago
http://dbpedia.org/resource/Abraham_Alikhanov||http://dbpedia.org/resource/Ganja,_Azerbaijan
http://dbpedia.org/resource/Abraham_Colles||http://dbpedia.org/resource/Kilkenny
http://dbpedia.org/resource/Abraham_Esau||http://dbpedia.org/resource/Malbork_County
http://dbpedia.org/resource/Abraham_Gotthelf_K%C3%A4stner||http://dbpedia.org/resource/Leipzig
http://dbpedia.org/resource/Abraham_Gottlob_Werner||http://dbpedia.org/resource/Osiecznica,_Lower_Silesian_Voivodeship
http://dbpedia.org/resource/Abraham_Haskel_Taub||http://dbpedia.org/resource/Chicago
http://dbpedia.org/resource/Abraham_Lempel||http://dbpedia.org/resource/Lviv
http://dbpedia.org/resource/Abraham_Nitzan||http://dbpedia.org/resource/Tel_Aviv
http://dbpedia.org/resource/Abraham_Pais||http://dbpedia.org/resource/Amsterdam
http://dbpedia.org/resource/Abraham_Robertson||http://dbpedia.org/resource/Duns
http://dbpedia.org/resource/Abraham_Robinson||http://dbpedia.org/resource/Wa%C5%82brzych
http://dbpedia.org/resource/Abraham_Sinkov||http://dbpedia.org/resource/Pennsylvania
http://dbpedia.org/resource/Abraham_Sinkov||http://dbpedia.org/resource/Philadelphia
http://dbpedia.org/resource/Abraham_Vater||http://dbpedia.org/resource/Wittenberg
http://dbpedia.org/resource/Abraham_Wald||http://dbpedia.org/resource/Cluj-Napoca
http://dbpedia.org/resource/Abraham_bar_Hiyya||http://dbpedia.org/resource/Barcelona
http://dbpedia.org/resource/Abraham_de_Moivre||http://dbpedia.org/resource/Vitry-le-Fran%C3%A7ois
http://dbpedia.org/resource/Abram_Ilyich_Fet||http://dbpedia.org/resource/Odessa
http://dbpedia.org/resource/Abram_Samoilovitch_Besicovitch||http://dbpedia.org/resource/Berdyansk
http://dbpedia.org/resource/Abu_Mansur_Maturidi||http://dbpedia.org/resource/Samarkand
http://dbpedia.org/resource/Abu_Nasr_Mansur||http://dbpedia.org/resource/Gilan_Province
http://dbpedia.org/resource/Abu_al-Abbas_al-Nabati||http://dbpedia.org/resource/Seville
http://dbpedia.org/resource/Abul_Khair_Kashfi||http://dbpedia.org/resource/Kanpur
http://dbpedia.org/resource/Abundio_Sag%C3%A1stegui_Alva||http://dbpedia.org/resource/Contumaz%C3%A1_Province
http://dbpedia.org/resource/Achille_Valenciennes||http://dbpedia.org/resource/Paris
http://dbpedia.org/resource/Achilles_Papapetrou||http://dbpedia.org/resource/Serres
http://dbpedia.org/resource/Achim_M%C3%BCller||http://dbpedia.org/resource/Detmold
http://dbpedia.org/resource/Ada_Hitchins||http://dbpedia.org/resource/Tavistock,_Devon
http://dbpedia.org/resource/Adalbert_Theodor_Michel||http://dbpedia.org/resource/Bohemia
http://dbpedia.org/resource/Adalbert_Theodor_Michel||http://dbpedia.org/resource/Prague
http://dbpedia.org/resource/Adam_Elias_von_Siebold||http://dbpedia.org/resource/W%C3%BCrzburg
http://dbpedia.org/resource/Adam_Frank||http://dbpedia.org/resource/New_York
http://dbpedia.org/resource/Adam_Hart-Davis||http://dbpedia.org/resource/Oxfordshire
http://dbpedia.org/resource/Adam_Hart-Davis||http://dbpedia.org/resource/Henley-on-Thames
http://dbpedia.org/resource/Adam_Heller||http://dbpedia.org/resource/Transylvania
http://dbpedia.org/resource/Adam_Heller||http://dbpedia.org/resource/Cluj-Napoca
http://dbpedia.org/resource/Adam_Osborne||http://dbpedia.org/resource/Bangkok
http://dbpedia.org/resource/Adam_Ries||http://dbpedia.org/resource/Bad_Staffelstein
http://dbpedia.org/resource/Adam_Sedgwick||http://dbpedia.org/resource/Dent,_Cumbria
